sample	mut_burden
WU002	4.644250418
WU004	11.03168299
WU005	6.583999072
WU008	5.318469983
WU011	5.393638527
WU012	5.25772228
WU014	1.754675332
WU017	6.697295632
WU018	13.99892208
WU019	3.435263322
WU022	2.068534691
WU023	4.329937796
WU024	6.619942482
WU028	2.459488131
WU031	5.079246402
WU032	0.924836674
